
  rstudent  dffits cook.d  cov.r tau2.del  QE.del    hat  weight    dfbs inf 
1  -1.9024 -0.6562 0.3026 0.8967   0.0681 14.8857 0.1530 15.2988 -0.6351     
2  -0.3712 -0.1278 0.0168 1.1350   0.1188 22.7661 0.0509  5.0947 -0.1252     
3  -0.4221 -0.2548 0.0809 1.4034   0.1369 22.7346 0.1624 16.2437 -0.2611     
4   0.6487  0.2049 0.0436 1.1708   0.1137 20.2077 0.1083 10.8347  0.2043     
5   1.7311  0.7558 0.4522 0.8160   0.0663 15.4627 0.1024 10.2439  0.7828     
6   1.2219  0.3450 0.1148 0.9878   0.0955 19.6114 0.0621  6.2059  0.3516     
7   0.0430 -0.0463 0.0024 1.2561   0.1276 22.3833 0.0983  9.8350 -0.0457     
8   0.7039  0.2164 0.0478 1.1359   0.1110 20.4784 0.0958  9.5775  0.2158     
9  -0.8683 -0.4200 0.1978 1.3012   0.1213 21.0254 0.1667 16.6657 -0.4259     

